Model,Activation,Optimizer,SeqLen,GradClip,Epoch,Loss,Accuracy,F1,EpochTime(s),TotalTime(s)
RNN,relu,adam,25,No,1,0.693,0.5857,0.5812,4.69,23.4
RNN,relu,adam,25,No,2,0.6644,0.6204,0.6143,4.7,23.4
RNN,relu,adam,25,No,3,0.6429,0.6436,0.6324,4.66,23.4
RNN,relu,adam,25,No,4,0.6145,0.6285,0.6283,4.65,23.4
RNN,relu,adam,25,No,5,0.596,0.6639,0.6634,4.7,23.4
RNN,relu,adam,25,Yes,1,0.6904,0.5885,0.5834,4.95,24.71
RNN,relu,adam,25,Yes,2,0.661,0.6439,0.6439,4.91,24.71
RNN,relu,adam,25,Yes,3,0.6251,0.6643,0.6643,4.91,24.71
RNN,relu,adam,25,Yes,4,0.5861,0.679,0.6777,4.95,24.71
RNN,relu,adam,25,Yes,5,0.5505,0.6821,0.6821,4.99,24.71
RNN,relu,adam,50,No,1,0.6952,0.5566,0.5561,7.95,39.9
RNN,relu,adam,50,No,2,0.6861,0.5378,0.5373,7.97,39.9
RNN,relu,adam,50,No,3,0.678,0.6178,0.614,7.98,39.9
RNN,relu,adam,50,No,4,0.6581,0.5538,0.5235,7.99,39.9
RNN,relu,adam,50,No,5,0.6607,0.6045,0.6044,8.0,39.9
RNN,relu,adam,50,Yes,1,0.6964,0.5039,0.3933,8.11,41.92
RNN,relu,adam,50,Yes,2,0.6896,0.5281,0.4335,8.26,41.92
RNN,relu,adam,50,Yes,3,0.6719,0.6256,0.6163,8.26,41.92
RNN,relu,adam,50,Yes,4,0.6344,0.6716,0.6716,8.52,41.92
RNN,relu,adam,50,Yes,5,0.5968,0.6858,0.6857,8.77,41.92
RNN,relu,adam,100,No,1,0.6963,0.5261,0.5242,14.53,74.61
RNN,relu,adam,100,No,2,0.6887,0.5467,0.4986,15.27,74.61
RNN,relu,adam,100,No,3,0.6758,0.5515,0.5102,14.85,74.61
RNN,relu,adam,100,No,4,0.656,0.6296,0.6245,15.3,74.61
RNN,relu,adam,100,No,5,0.641,0.6316,0.6254,14.65,74.61
RNN,relu,adam,100,Yes,1,0.6955,0.5256,0.5256,14.68,73.68
RNN,relu,adam,100,Yes,2,0.6849,0.5856,0.5599,14.53,73.68
RNN,relu,adam,100,Yes,3,0.663,0.5852,0.5471,14.41,73.68
RNN,relu,adam,100,Yes,4,0.6433,0.6468,0.6442,15.45,73.68
RNN,relu,adam,100,Yes,5,0.6088,0.6684,0.6648,14.6,73.68
