Model,Activation,Optimizer,SeqLen,GradClip,Accuracy,F1,EpochTime(s)
RNN,relu,adam,25,No,0.59,0.58,4.7
RNN,relu,adam,25,No,0.62,0.61,4.7
RNN,relu,adam,25,No,0.64,0.63,4.7
RNN,relu,adam,25,No,0.63,0.63,4.6
RNN,relu,adam,25,No,0.66,0.66,4.7
RNN,relu,adam,25,Yes,0.59,0.58,5.0
RNN,relu,adam,25,Yes,0.64,0.64,4.9
RNN,relu,adam,25,Yes,0.66,0.66,4.9
RNN,relu,adam,25,Yes,0.68,0.68,5.0
RNN,relu,adam,25,Yes,0.68,0.68,5.0
RNN,relu,adam,50,No,0.56,0.56,8.0
RNN,relu,adam,50,No,0.54,0.54,8.0
RNN,relu,adam,50,No,0.62,0.61,8.0
RNN,relu,adam,50,No,0.55,0.52,8.0
RNN,relu,adam,50,No,0.6,0.6,8.0
RNN,relu,adam,50,Yes,0.5,0.39,8.1
RNN,relu,adam,50,Yes,0.53,0.43,8.3
RNN,relu,adam,50,Yes,0.63,0.62,8.3
RNN,relu,adam,50,Yes,0.67,0.67,8.5
RNN,relu,adam,50,Yes,0.69,0.69,8.8
RNN,relu,adam,100,No,0.53,0.52,14.5
RNN,relu,adam,100,No,0.55,0.5,15.3
RNN,relu,adam,100,No,0.55,0.51,14.8
RNN,relu,adam,100,No,0.63,0.62,15.3
RNN,relu,adam,100,No,0.63,0.63,14.6
RNN,relu,adam,100,Yes,0.53,0.53,14.7
RNN,relu,adam,100,Yes,0.59,0.56,14.5
RNN,relu,adam,100,Yes,0.59,0.55,14.4
RNN,relu,adam,100,Yes,0.65,0.64,15.4
RNN,relu,adam,100,Yes,0.67,0.66,14.6
RNN,relu,sgd,25,No,0.51,0.5,4.1
RNN,relu,sgd,25,No,0.52,0.5,4.2
RNN,relu,sgd,25,No,0.56,0.55,4.2
RNN,relu,sgd,25,No,0.58,0.57,4.3
RNN,relu,sgd,25,No,0.6,0.6,4.1
RNN,relu,sgd,25,Yes,0.51,0.37,4.3
RNN,relu,sgd,25,Yes,0.52,0.51,4.2
RNN,relu,sgd,25,Yes,0.52,0.48,4.2
RNN,relu,sgd,25,Yes,0.57,0.57,4.5
RNN,relu,sgd,25,Yes,0.58,0.56,4.5
RNN,relu,sgd,50,No,0.5,0.35,7.1
RNN,relu,sgd,50,No,0.51,0.5,7.0
RNN,relu,sgd,50,No,0.53,0.52,6.8
RNN,relu,sgd,50,No,0.58,0.58,6.8
RNN,relu,sgd,50,No,0.54,0.51,6.9
RNN,relu,sgd,50,Yes,0.51,0.5,7.2
RNN,relu,sgd,50,Yes,0.51,0.51,7.1
RNN,relu,sgd,50,Yes,0.52,0.51,7.1
RNN,relu,sgd,50,Yes,0.56,0.56,7.1
RNN,relu,sgd,50,Yes,0.56,0.55,7.2
RNN,relu,sgd,100,No,0.51,0.5,12.8
RNN,relu,sgd,100,No,0.51,0.45,12.8
RNN,relu,sgd,100,No,0.5,0.41,12.9
RNN,relu,sgd,100,No,0.51,0.45,12.9
RNN,relu,sgd,100,No,0.54,0.54,13.0
RNN,relu,sgd,100,Yes,0.51,0.48,13.6
RNN,relu,sgd,100,Yes,0.51,0.5,14.4
RNN,relu,sgd,100,Yes,0.51,0.49,13.7
RNN,relu,sgd,100,Yes,0.52,0.52,13.4
RNN,relu,sgd,100,Yes,0.54,0.49,13.4
RNN,relu,rmsprop,25,No,0.54,0.54,5.0
RNN,relu,rmsprop,25,No,0.6,0.6,5.0
